transaction_id,amount,timestamp,account_type,location,merchant_category,is_anomaly,anomaly
203,80.51,2024-01-01 00:39:00,Checking,Chicago,Restaurant,0,Normal
735,276.73,2024-01-01 00:40:00,Checking,Phoenix,Healthcare,0,Normal
176,124.1,2024-01-01 00:46:00,Savings,New York,Utilities,0,Normal
294,85.87,2024-01-01 01:40:00,Checking,Philadelphia,Entertainment,0,Normal
259,124.67,2024-01-01 02:12:00,Credit,San Jose,Electronics,0,Normal
780,132.95,2024-01-01 02:25:00,Checking,Houston,Travel,0,Normal
919,168.43,2024-01-01 03:02:00,Savings,Chicago,Restaurant,0,Normal
1086,32187.51,2024-01-01 03:39:00,Credit,Unknown,Online Gaming,1,Normal
397,129.28,2024-01-01 05:49:00,Credit,San Jose,Utilities,0,Normal
1159,1878.83,2024-01-01 06:05:00,Credit,Suspicious,Crypto Exchange,1,Normal
40,78.16,2024-01-01 06:08:00,Savings,San Diego,Healthcare,0,Normal
766,136.81,2024-01-01 06:11:00,Checking,San Jose,Investment,0,Normal
410,55.57,2024-01-01 07:21:00,Savings,San Diego,Travel,0,Normal
154,143.35,2024-01-01 07:45:00,Savings,Philadelphia,Education,0,Normal
147,19.88,2024-01-01 08:42:00,Credit,San Antonio,Grocery,0,Normal
1180,2246.76,2024-01-01 09:20:00,Credit,Unknown,Wire Transfer,1,Normal
1025,38273.51,2024-01-01 09:49:00,Savings,International,Foreign Exchange,1,Anomaly
100,78.95,2024-01-01 10:27:00,Checking,Houston,Healthcare,0,Normal
853,79.23,2024-01-01 11:57:00,Savings,Houston,Retail,0,Normal
1009,20560.17,2024-01-01 12:20:00,Savings,International,Wire Transfer,1,Anomaly
1036,22724.18,2024-01-01 12:50:00,Savings,Suspicious,Wire Transfer,1,Normal
120,36.13,2024-01-01 13:20:00,Checking,New York,Investment,0,Normal
394,98.58,2024-01-01 13:37:00,Checking,Phoenix,Restaurant,0,Normal
517,118.32,2024-01-01 14:04:00,Checking,Houston,Retail,0,Normal
452,64.68,2024-01-01 14:39:00,Credit,San Antonio,Utilities,0,Normal
658,160.15,2024-01-01 15:40:00,Savings,San Diego,Electronics,0,Normal
1124,8754.41,2024-01-01 16:05:00,Credit,Unknown,Online Gaming,1,Normal
476,100.27,2024-01-01 16:28:00,Credit,San Jose,Utilities,0,Normal
290,133.25,2024-01-01 17:31:00,Credit,Houston,Restaurant,0,Normal
1121,10015.76,2024-01-01 17:51:00,Checking,International,Wire Transfer,1,Normal
838,126.68,2024-01-01 18:30:00,Checking,New York,Electronics,0,Normal
549,85.17,2024-01-01 18:52:00,Savings,Phoenix,Entertainment,0,Normal
70,43.49,2024-01-01 19:12:00,Savings,San Diego,Restaurant,0,Normal
139,95.94,2024-01-01 19:20:00,Credit,Chicago,Utilities,0,Normal
430,81.56,2024-01-01 19:29:00,Savings,Chicago,Investment,0,Normal
948,169.22,2024-01-01 20:15:00,Savings,Philadelphia,Entertainment,0,Normal
951,33.24,2024-01-01 22:49:00,Credit,Phoenix,Investment,0,Normal
831,203.5,2024-01-01 22:54:00,Checking,San Antonio,Travel,0,Normal
851,66.29,2024-01-01 23:53:00,Credit,Houston,Investment,0,Normal
1143,12894.09,2024-01-01 23:56:00,Credit,Suspicious,Foreign Exchange,1,Normal
969,233.57,2024-01-02 01:34:00,Credit,San Jose,Entertainment,0,Normal
519,96.03,2024-01-02 02:22:00,Savings,Philadelphia,Retail,0,Normal
506,256.47,2024-01-02 02:31:00,Checking,Houston,Healthcare,0,Normal
